# tracer: function
#
# entries-in-buffer/entries-written: 1135/1135   #P:4
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
          <idle>-0     [002] d.h. 65835.133742: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.133746: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.133840: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.133880: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.134081: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.134130: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.134131: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.146029: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.146033: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.146127: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.146157: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.146345: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.146450: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.146451: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.156065: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.156068: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.156162: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.156183: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.156411: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.156503: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.156504: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.165967: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.165971: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.166065: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.166121: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.166286: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.166388: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.166389: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.173675: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.173679: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.173772: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.173804: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.173975: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.174078: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.174079: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.183678: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.183681: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.183775: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.183816: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.183975: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.184085: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.184086: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.193649: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.193652: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.193747: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.193778: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.193954: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.194031: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.194032: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.204825: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.204829: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.204922: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.204978: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.205136: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.205209: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.205210: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.214676: i915_itouch_notify <-gen8_gt_irq_handler
          <idle>-0     [002] d.h. 65835.214680: itouch_signal_complete <-i915_itouch_notify
     kworker/2:2-61    [002] .... 65835.214776: itouch_print_hex_dump <-send_touches_to_os
     kworker/2:2-61    [002] .... 65835.214848: mei_itouch_write_message <-touch_feedback_ready
     kworker/2:2-61    [002] .... 65835.214849: itouch_mei_cl_send <-mei_itouch_write_message
          <idle>-0     [002] d.h. 65835.225077: i915_itouch_notify <-gen8_gt_irq_handler
